"llid","state","max_depth_m","mean_depth_m","source","effort","lake_waterarea_ha","lake_connectivity_permanent","lake_lat_decdeg","lake_lon_decdeg","lat","long"
"100096","MN",24.3828105926514,7.22341093061174,"https://gisdata.mn.gov/dataset/water-lake-bathymetry","bathymetry",110.675,"DrainageLk",47.07377,-94.60217,47.07377,-94.60217
"1001","MN",20.1147155761719,7.37031221783783,"https://gisdata.mn.gov/dataset/water-lake-bathymetry","bathymetry",111.051,"Drainage",47.96744,-91.87632,47.96744,-91.87632
"100152","MN",6.69557905197144,2.00927129774454,"https://gisdata.mn.gov/dataset/water-lake-bathymetry","bathymetry",65.388,"DrainageLk",46.56993,-94.32133,46.56993,-94.32133
"100184","MN",2.01156949996948,1.39345633379421,"https://gisdata.mn.gov/dataset/water-lake-bathymetry","bathymetry",77.454,"Drainage",45.15009,-95.14317,45.15009,-95.14317
"100185","MN",5.48574495315552,3.34552946713567,"https://gisdata.mn.gov/dataset/water-lake-bathymetry","bathymetry",98.623,"Drainage",45.79443,-95.61709,45.79443,-95.61709
"100189","MN",3.50534415245056,2.80376747438748,"https://gisdata.mn.gov/dataset/water-lake-bathymetry","bathymetry",32.784,"Isolated",43.76329,-95.0476,43.76329,-95.0476
"100191","MN",14.6222372055054,4.48200944234364,"https://gisdata.mn.gov/dataset/water-lake-bathymetry","bathymetry",88.186,"Drainage",46.07759,-95.72353,46.07759,-95.72353
"1003","MN",19.1899604797363,6.14943040409321,"https://gisdata.mn.gov/dataset/water-lake-bathymetry","bathymetry",236.286,"DrainageLk",45.67783,-94.50276,45.67783,-94.50276
"1004","MN",9.72268486022949,2.61442079437585,"https://gisdata.mn.gov/dataset/water-lake-bathymetry","bathymetry",194.414,"Headwater",45.3568,-93.33579,45.3568,-93.33579
"1011","MN",9.14355373382568,4.51912146083281,"https://gisdata.mn.gov/dataset/water-lake-bathymetry","bathymetry",554.26,"DrainageLk",47.06008,-93.48554,47.06008,-93.48554
"101127","MN",12.4938983917236,4.04457539811622,"https://gisdata.mn.gov/dataset/water-lake-bathymetry","bathymetry",118.886,"DrainageLk",45.82417,-95.55348,45.82417,-95.55348
"101148","MN",13.1029014587402,5.32688319529408,"https://gisdata.mn.gov/dataset/water-lake-bathymetry","bathymetry",160.336,"DrainageLk",46.40315,-95.45214,46.40315,-95.45214
"101152","MN",17.9029712677002,3.92220064255279,"https://gisdata.mn.gov/dataset/water-lake-bathymetry","bathymetry",120.147,"Headwater",46.07867,-95.3737,46.07867,-95.3737
"101162","MN",11.2764940261841,3.47356630551072,"https://gisdata.mn.gov/dataset/water-lake-bathymetry","bathymetry",96.286,"Headwater",46.88362,-94.36235,46.88362,-94.36235
"101167","MN",20.9061450958252,6.5668265510092,"https://gisdata.mn.gov/dataset/water-lake-bathymetry","bathymetry",21.613,"Headwater",45.15149,-94.15061,45.15149,-94.15061
"1013","MN",9.14355373382568,4.49650121630385,"https://gisdata.mn.gov/dataset/water-lake-bathymetry","bathymetry",167.874,"DrainageLk",45.42164,-94.57701,45.42164,-94.57701
"101472","MN",9.14355373382568,5.25267325088494,"https://gisdata.mn.gov/dataset/water-lake-bathymetry","bathymetry",43.01,"Headwater",47.72065,-93.84415,47.72065,-93.84415
"101477","MN",15.2392559051514,4.96691205858819,"https://gisdata.mn.gov/dataset/water-lake-bathymetry","bathymetry",32.241,"DrainageLk",47.60813,-93.98347,47.60813,-93.98347
"1015","MN",17.6046943664551,4.08287184010818,"https://gisdata.mn.gov/dataset/water-lake-bathymetry","bathymetry",203.222,"DrainageLk",47.67073,-93.72052,47.67073,-93.72052
"101817","MN",6.48023748397827,3.70888775403777,"https://gisdata.mn.gov/dataset/water-lake-bathymetry","bathymetry",136.697,"DrainageLk",47.29727,-92.4986,47.29727,-92.4986
"102","MN",5.79076242446899,3.72515388585186,"https://gisdata.mn.gov/dataset/water-lake-bathymetry","bathymetry",20.525,"Headwater",47.71551,-95.76336,47.71551,-95.76336
"1020","MN",7.24090242385864,3.64475725714878,"https://gisdata.mn.gov/dataset/water-lake-bathymetry","bathymetry",212.788,"Headwater",47.38982,-94.66019,47.38982,-94.66019
"102122","MN",9.57990741729736,1.57698143109991,"https://gisdata.mn.gov/dataset/water-lake-bathymetry","bathymetry",24.215,"Isolated",46.83454,-95.07661,46.83454,-95.07661
"102125","MN",11.2727346420288,4.02552488857937,"https://gisdata.mn.gov/dataset/water-lake-bathymetry","bathymetry",89.422,"DrainageLk",46.97423,-94.4335,46.97423,-94.4335
"102136","MN",2.13349580764771,1.57453245261418,"https://gisdata.mn.gov/dataset/water-lake-bathymetry","bathymetry",45.294,"Isolated",45.43229,-93.52057,45.43229,-93.52057
"1022","MN",6.7004542350769,3.32712308287756,"https://gisdata.mn.gov/dataset/water-lake-bathymetry","bathymetry",24.739,"Isolated",47.60874,-91.25382,47.60874,-91.25382
"102222","MN",1.67628681659698,1.19955039287579,"https://gisdata.mn.gov/dataset/water-lake-bathymetry","bathymetry",81.211,"Isolated",43.53691,-94.4699,43.53691,-94.4699
"102496","MN",9.41385746002197,3.79495643021452,"https://gisdata.mn.gov/dataset/water-lake-bathymetry","bathymetry",89.803,"DrainageLk",47.63297,-92.78148,47.63297,-92.78148
"102499","MN",11.2707042694092,4.38355941079659,"https://gisdata.mn.gov/dataset/water-lake-bathymetry","bathymetry",25.605,"DrainageLk",47.65466,-93.57321,47.65466,-93.57321
"102507","MN",22.8454036712646,3.93170026908326,"https://gisdata.mn.gov/dataset/water-lake-bathymetry","bathymetry",104.24,"DrainageLk",47.59949,-93.54374,47.59949,-93.54374
"102510","MN",6.0861611366272,2.41798379893866,"https://gisdata.mn.gov/dataset/water-lake-bathymetry","bathymetry",40.686,"Headwater",47.74303,-91.24277,47.74303,-91.24277
"102779","MN",6.09570264816284,4.04822263305658,"https://gisdata.mn.gov/dataset/water-lake-bathymetry","bathymetry",166.009,"Drainage",47.36845,-91.90533,47.36845,-91.90533
"1029","MN",10.6429834365845,5.28397067244667,"https://gisdata.mn.gov/dataset/water-lake-bathymetry","bathymetry",153.472,"Isolated",46.64293,-92.91815,46.64293,-92.91815
"103130","MN",14.5693845748901,5.67355138812871,"https://gisdata.mn.gov/dataset/water-lake-bathymetry","bathymetry",80.456,"DrainageLk",46.92031,-94.33264,46.92031,-94.33264
"103160","MN",17.2266445159912,3.9772637941746,"https://gisdata.mn.gov/dataset/water-lake-bathymetry","bathymetry",35.08,"DrainageLk",45.90778,-95.42599,45.90778,-95.42599
"103181","MN",37.4826278686523,10.1145756599585,"https://gisdata.mn.gov/dataset/water-lake-bathymetry","bathymetry",164.605,"DrainageLk",45.88737,-95.48372,45.88737,-95.48372
"103186","MN",4.67036247253418,1.27883263571663,"https://gisdata.mn.gov/dataset/water-lake-bathymetry","bathymetry",37.851,"DrainageLk",44.94485,-92.97197,44.94485,-92.97197
"103461","MN",3.04785132408142,1.26636071220484,"https://gisdata.mn.gov/dataset/water-lake-bathymetry","bathymetry",61.313,"DrainageLk",46.72369,-95.903,46.72369,-95.903
"103522","MN",10.6674795150757,4.8858173719802,"https://gisdata.mn.gov/dataset/water-lake-bathymetry","bathymetry",1188.153,"DrainageLk",47.81206,-94.23712,47.81206,-94.23712
"103523","MN",5.79056692123413,2.89093171101212,"https://gisdata.mn.gov/dataset/water-lake-bathymetry","bathymetry",25.244,"Drainage",48.48359,-92.84353,48.48359,-92.84353
"104174","MN",7.61043262481689,2.99875355124865,"https://gisdata.mn.gov/dataset/water-lake-bathymetry","bathymetry",248.029,"DrainageLk",46.31404,-94.50239,46.31404,-94.50239
"104195","MN",13.7153310775757,5.09081205152318,"https://gisdata.mn.gov/dataset/water-lake-bathymetry","bathymetry",19.589,"Drainage",45.82268,-94.80429,45.82268,-94.80429
"104200","MN",15.2392559051514,7.85770784309266,"https://gisdata.mn.gov/dataset/water-lake-bathymetry","bathymetry",39.51,"Drainage",45.32381,-94.1577,45.32381,-94.1577
"104215","MN",2.87725043296814,1.61750747558144,"https://gisdata.mn.gov/dataset/water-lake-bathymetry","bathymetry",268.72,"Headwater",47.06674,-94.20491,47.06674,-94.20491
"104280","MN",14.8855047225952,6.52850270962181,"https://gisdata.mn.gov/dataset/water-lake-bathymetry","bathymetry",41.685,"Isolated",46.39527,-92.70668,46.39527,-92.70668
"104301","MN",16.0272655487061,4.06567594933625,"https://gisdata.mn.gov/dataset/water-lake-bathymetry","bathymetry",88.231,"DrainageLk",45.58807,-93.05466,45.58807,-93.05466
"1045","MN",29.6243228912354,10.5417563672854,"https://gisdata.mn.gov/dataset/water-lake-bathymetry","bathymetry",118.088,"Drainage",47.18925,-95.21807,47.18925,-95.21807
"104511","MN",25.2322673797607,10.1144233134395,"https://gisdata.mn.gov/dataset/water-lake-bathymetry","bathymetry",76.12,"DrainageLk",47.6201,-95.1394,47.6201,-95.1394
"104528","MN",11.5779066085815,6.6531705081557,"https://gisdata.mn.gov/dataset/water-lake-bathymetry","bathymetry",46.457,"Isolated",46.8311,-96.33356,46.8311,-96.33356
"1048","MN",15.5325078964233,5.99240593742385,"https://gisdata.mn.gov/dataset/water-lake-bathymetry","bathymetry",68.633,"Drainage",44.95969,-93.32124,44.95969,-93.32124
"104885","MN",8.67070388793945,3.27637342060318,"https://gisdata.mn.gov/dataset/water-lake-bathymetry","bathymetry",17.964,"DrainageLk",47.52386,-92.54362,47.52386,-92.54362
"105","MN",20.245231628418,10.1054789095285,"https://gisdata.mn.gov/dataset/water-lake-bathymetry","bathymetry",67.661,"Drainage",48.2748,-92.2583,48.2748,-92.2583
"105220","MN",24.3828105926514,11.5420048118834,"https://gisdata.mn.gov/dataset/water-lake-bathymetry","bathymetry",506.145,"DrainageLk",46.95852,-93.9747,46.95852,-93.9747
"105236","MN",1.37114429473877,0.624436055235498,"https://gisdata.mn.gov/dataset/water-lake-bathymetry","bathymetry",61.408,"Drainage",44.90138,-94.40467,44.90138,-94.40467
"105245","MN",21.3349590301514,8.589745451682,"https://gisdata.mn.gov/dataset/water-lake-bathymetry","bathymetry",136.22,"Isolated",46.66373,-94.25349,46.66373,-94.25349
"105263","MN",18.2200546264648,5.69461787998818,"https://gisdata.mn.gov/dataset/water-lake-bathymetry","bathymetry",54.688,"DrainageLk",47.09045,-94.59342,47.09045,-94.59342
"105285","MN",12.3618793487549,4.12169451835426,"https://gisdata.mn.gov/dataset/water-lake-bathymetry","bathymetry",21.327,"Isolated",45.33828,-93.98572,45.33828,-93.98572
"1053","MN",8.22478580474854,3.21354747102424,"https://gisdata.mn.gov/dataset/water-lake-bathymetry","bathymetry",161.5,"DrainageLk",46.82217,-94.47698,46.82217,-94.47698
"105366","MN",7.61962795257568,3.76113336576464,"https://gisdata.mn.gov/dataset/water-lake-bathymetry","bathymetry",19.549,"Isolated",46.52244,-92.64139,46.52244,-92.64139
