"llid","shape_class","shape_offset"
2,"convex",-18.5454545454545
6,"convex",-6.7179487179487
8,"convex",-13
9,"convex",-6
10,"convex",-15
12,"convex",-3.7692307692308
17,"convex",-9
20,"convex",-14.936170212766
21,"convex",-49.3636363636363
22,"convex",-6
24,"convex",-35.5555555555556
25,"convex",-18
26,"convex",-11.3809523809524
27,"convex",-17.5747126436782
28,"neither",0
29,"convex",-11
31,"convex",-1.7272727272727
32,"convex",-22.7164179104478
34,"concave",14
37,"convex",-23
39,"convex",-25.8771929824561
41,"convex",-24
45,"concave",33
46,"convex",-23.3076923076923
50,"concave",6.8985507246377
61,"convex",-14.3333333333333
62,"neither",0
63,"concave",2.61904761904765
64,"convex",-19.8518518518519
67,"convex",-17.7246376811595
73,"convex",-13.9411764705882
74,"convex",-21
75,"concave",12.6666666666667
79,"convex",-9.4854368932039
94,"concave",24.1538461538461
95,"concave",26.0588235294118
102,"concave",17.6190476190476
105,"convex",-4.64935064935065
106,"convex",-13.5151515151515
122,"convex",-29.7241379310344
128,"concave",6.15384615384615
131,"convex",-44.3184713375797
140,"concave",3
141,"concave",28.8571428571429
142,"concave",10.6666666666667
143,"convex",-5.6315789473684
156,"convex",-17.3333333333333
163,"convex",-5.561797752809
165,"concave",8.6666666666667
168,"concave",7.1481481481481
171,"concave",16.6190476190476
179,"convex",-19.3333333333333
191,"convex",-1.38095238095235
192,"convex",-5.55555555555555
213,"convex",-42.7692307692307
222,"concave",14.3684210526316
223,"convex",-25
240,"convex",-32.9433962264151
251,"convex",-28.7241379310344
252,"convex",-50.1111111111111
259,"concave",4.4848484848485
260,"convex",-15.0204081632653
265,"convex",-3.7042253521127
284,"convex",-12.4545454545455
291,"convex",-15.1627906976744
295,"concave",12.5714285714286
299,"convex",-1.94117647058825
306,"concave",4.61904761904765
315,"convex",-43.4
316,"convex",-5.4285714285714
317,"concave",23.0566037735849
328,"convex",-34.5555555555556
333,"concave",10.4444444444444
334,"convex",-20.5151515151515
338,"convex",-37.8518518518519
339,"convex",-11.5263157894737
343,"convex",-31.5376344086021
345,"convex",-16.5151515151515
352,"convex",-20.6315789473684
356,"convex",-53.6666666666667
368,"convex",-13.6849315068494
369,"concave",32.8571428571429
371,"convex",-4.1428571428571
375,"convex",-19.6666666666667
381,"concave",18.6666666666667
386,"convex",-32.5263157894737
388,"concave",2.4848484848485
403,"convex",-1.55555555555555
407,"convex",-41.1111111111111
412,"concave",35.4545454545455
413,"concave",10.3870967741936
414,"convex",-4.55555555555555
419,"convex",-8.94117647058825
425,"concave",12.0909090909091
429,"convex",-17.7241379310344
433,"convex",-22.199203187251
440,"concave",19.8571428571429
441,"concave",15
442,"convex",-13.3311258278146
448,"convex",-22.8518518518519
449,"concave",16
452,"convex",-6.2820512820513
454,"convex",-46.6666666666667
457,"concave",18.8571428571429
460,"concave",8.4848484848485
461,"concave",3.4848484848485
462,"concave",1.4848484848485
465,"convex",-9.5494505494505
466,"convex",-16.1818181818182
468,"convex",-7.9090909090909
469,"concave",14.2758620689656
474,"concave",30.4545454545455
475,"convex",-11.6315789473684
477,"convex",-27.9433962264151
478,"convex",-28.6666666666667
481,"convex",-33
482,"convex",-40.375939849624
484,"convex",-34.4468085106383
485,"convex",-27.3809523809524
487,"convex",-33.8461538461538
489,"convex",-1.5151515151515
491,"convex",-16.8518518518519
492,"convex",-4.91666666666665
493,"convex",-35.4854368932039
501,"convex",-2
504,"convex",-19.758389261745
507,"convex",-21.6329113924051
515,"concave",18.8571428571429
519,"convex",-13.9411764705882
524,"convex",-27.1627906976744
525,"concave",13.8571428571429
531,"convex",-33.8771929824562
533,"convex",-11.1627906976744
537,"convex",-33.3513513513514
539,"convex",-31
541,"convex",-23.6627218934911
542,"convex",-42.3875968992248
544,"convex",-24
546,"concave",0.7267759562842
547,"convex",-27
548,"convex",-20
551,"convex",-16.5050505050505
552,"convex",-35.1627906976744
557,"convex",-6.4854368932039
562,"convex",-7.6129032258064
565,"convex",-8.0204081632653
567,"convex",-6.9433962264151
573,"convex",-29.5882352941177
574,"convex",-25
575,"convex",-17
577,"convex",-36.6363636363636
584,"convex",-47.7042253521127
587,"convex",-7.4424778761062
588,"convex",-11
590,"convex",-0.219512195121951
594,"concave",12.3684210526316
596,"concave",0.019607843137301
598,"convex",-6.5263157894737
602,"convex",-34
609,"convex",-10.5494505494505
610,"convex",-44.6315789473684
613,"convex",-35
614,"convex",-22.1627906976744
615,"convex",-39.0652173913044
617,"convex",-25.1228070175439
621,"convex",-34.7313432835821
622,"convex",-21
627,"convex",-31.7352941176471
632,"convex",-8.6024096385542
634,"convex",-6.8474576271186
637,"convex",-10.4132231404958
640,"convex",-26.5714285714286
644,"convex",-31.8139534883721
658,"convex",-32.3191489361702
666,"concave",13.4444444444444
670,"convex",-23.2857142857143
671,"convex",-40.7857142857143
674,"convex",-9.4545454545455
678,"convex",-33.4285714285714
683,"convex",-37.2608695652174
685,"convex",-30.1627906976744
687,"concave",1.3684210526316
690,"convex",-18.7368421052632
692,"convex",-21.6493506493507
694,"concave",2.4545454545455
695,"concave",15.4444444444444
697,"convex",-5.2758620689655
703,"convex",-27.6849315068494
704,"convex",-49.063829787234
706,"concave",12.2758620689656
707,"concave",19.5714285714286
709,"convex",-62.3587786259542
714,"convex",-29.6666666666667
717,"convex",-27
726,"concave",16.7179487179487
729,"concave",18.8571428571429
731,"convex",-29.1914893617021
734,"concave",0.148148148148103
736,"concave",1.61904761904765
738,"convex",-5.68493150684935
740,"convex",-30.7037037037038
747,"convex",-17.25
749,"convex",-28.5494505494505
752,"convex",-5
753,"convex",-14.5151515151515
755,"concave",36.4545454545455
758,"concave",26.1538461538461
768,"convex",-33.9090909090909
769,"convex",-25.5151515151515
770,"convex",-18.4672897196262
773,"convex",-14.219512195122
775,"concave",1.6666666666667
776,"convex",-12.3684210526316
777,"neither",0
778,"convex",-47.219512195122
781,"convex",-43.5151515151515
783,"convex",-10.1111111111111
785,"convex",-8.04166666666665
791,"convex",-4.9803921568627
800,"convex",-29.7462686567164
804,"convex",-41.0204081632653
807,"convex",-52.8695652173913
816,"concave",21.4545454545455
817,"convex",-23.1811023622048
818,"convex",-6.2857142857143
820,"convex",-28.1836734693878
830,"convex",-5.42857142857144
831,"convex",-42.7692307692307
832,"convex",-25.7037037037038
833,"convex",-11.9411764705882
834,"convex",-16
835,"convex",-44.439446366782
836,"convex",-48.7073170731708
840,"convex",-15
842,"concave",4.6666666666667
843,"convex",-19.219512195122
845,"convex",-34.4378698224852
852,"convex",-25
853,"concave",5
857,"convex",-27.219512195122
864,"convex",-9.3184713375796
867,"convex",-36
876,"convex",-42.6329113924051
878,"convex",-2.87719298245615
882,"convex",-4.4347826086956
884,"concave",10.0588235294118
887,"convex",-15.304347826087
900,"convex",-14
902,"convex",-41.7462686567164
909,"convex",-15
912,"convex",-14.8518518518519
914,"convex",-30.5454545454545
918,"convex",-15.8518518518519
919,"convex",-28.6315789473684
921,"convex",-38.2262443438914
922,"convex",-20
923,"convex",-16
924,"convex",-14.5151515151515
931,"convex",-12.5151515151515
933,"concave",7.4623655913979
934,"convex",-22.7142857142857
937,"convex",-19.5897435897436
938,"convex",-30.3649635036496
943,"convex",-15.1739130434783
949,"convex",-44.5505617977528
953,"concave",19.8571428571429
954,"convex",-29.1111111111111
955,"convex",-14.6493506493507
957,"concave",7.3870967741936
958,"concave",19
959,"convex",-27.6785714285714
960,"convex",-3.5151515151515
963,"convex",-44.5151515151515
970,"convex",-11.5454545454545
971,"concave",8.44444444444445
972,"convex",-13.6172839506173
973,"convex",-23
974,"convex",-31.962962962963
975,"concave",1.3870967741936
977,"convex",-6.3157894736842
981,"convex",-21
987,"concave",4.4623655913979
996,"convex",-49.3105590062112
1001,"convex",-15.6493506493507
1003,"convex",-26.6849315068494
1004,"convex",-31.4285714285714
1006,"convex",-32.7981651376147
1009,"convex",-6
1011,"concave",9.4848484848485
1013,"convex",-13.5151515151515
1015,"convex",-41.7462686567164
1020,"concave",12
1022,"concave",7.8260869565217
1023,"convex",-9.8100558659218
1025,"convex",-23.304347826087
1026,"convex",-26.1739130434783
1027,"concave",3
1028,"convex",-28.4246575342466
1029,"concave",11.7179487179487
1030,"convex",-26.0201342281879
1037,"convex",-33.6410256410256
1039,"convex",-20.9090909090909
1044,"convex",-31.7462686567165
1045,"convex",-27.4347826086956
1048,"convex",-17.8474576271186
1050,"convex",-31
1053,"convex",-10.7241379310344
1054,"convex",-17.7991967871486
1055,"concave",8.1481481481481
1056,"convex",-20
1058,"convex",-22.5154639175258
1060,"convex",-17.1111111111111
1061,"convex",-45.4
1064,"concave",22.4545454545455
1065,"convex",-40.1627906976744
1067,"convex",-38.9803921568627
1069,"convex",-16.3333333333333
1070,"concave",33.4444444444444
1071,"convex",-32.5882352941177
1072,"convex",-29.6329113924051
1082,"convex",-18.1111111111111
1087,"convex",-23.7241379310344
1089,"convex",-7.6129032258064
1090,"convex",-25.6129032258064
1093,"convex",-19.2857142857143
1094,"convex",-30.6849315068494
1100,"convex",-15.8518518518519
1104,"concave",5.15384615384615
1106,"concave",1.9411764705882
1107,"convex",-25
1109,"convex",-18
1110,"convex",-19.7179487179487
1113,"convex",-34.2732240437158
1123,"convex",-26.3513513513514
1126,"concave",2
1131,"convex",-14
1137,"convex",-0.515151515151501
1139,"convex",-37.5151515151515
1140,"convex",-16.9166666666667
1142,"convex",-31.7042253521127
1144,"convex",-4.7042253521127
1147,"convex",-9
1153,"convex",-24.1739130434783
1154,"convex",-35.199203187251
1155,"convex",-21.6493506493507
1160,"convex",-27.5217391304348
1161,"convex",-35.127659574468
1166,"concave",0.8888888888889
1171,"concave",11.7179487179487
1176,"convex",-21.6849315068494
1178,"convex",-10.8275862068966
1180,"convex",-5.68493150684935
1183,"concave",12.1481481481481
1187,"concave",4.8260869565217
1189,"convex",-39.3649635036496
1198,"convex",-48.5454545454545
1209,"concave",20
1212,"convex",-22.8518518518519
1213,"convex",-0.368421052631597
1214,"convex",-43.6129032258064
1219,"convex",-17.7777777777778
1226,"convex",-28.4444444444444
1227,"concave",27.6666666666667
1230,"convex",-23.7246376811595
1232,"convex",-11.4285714285714
1234,"convex",-37.4651162790698
1235,"convex",-1.38095238095235
1236,"convex",-12.063829787234
1241,"convex",-37
1247,"convex",-16.2820512820513
1253,"concave",0.122807017543849
1258,"convex",-11.1627906976744
1263,"convex",-21
1265,"convex",-41.265306122449
1266,"convex",-12.7241379310344
1269,"convex",-10.25
1271,"convex",-19.1627906976744
1275,"convex",-20.9795918367347
1277,"convex",-48.0204081632653
1278,"convex",-38.4444444444444
1280,"concave",1.936170212766
1285,"neither",0
1295,"convex",-22.375939849624
1307,"convex",-26.8823529411764
1312,"convex",-25
1314,"convex",-6.7042253521127
1316,"convex",-24.8771929824561
1321,"concave",15.1538461538461
1322,"convex",-40.6213017751479
1323,"convex",-34.5
1326,"concave",26.4545454545455
1327,"convex",-26.4269662921348
1329,"convex",-1.6129032258064
1330,"concave",9.4545454545455
1333,"convex",-21.8771929824562
1334,"concave",4.27586206896555
1335,"convex",-37.5151515151515
1337,"convex",-6.2820512820513
1338,"concave",23.2222222222222
1342,"convex",-1.4672897196262
1350,"convex",-7.4672897196262
1353,"convex",-22
1354,"convex",-19.3793103448276
1355,"convex",-2
1358,"convex",-4.8461538461538
1360,"convex",-32.4593301435407
1361,"convex",-4.7462686567164
1362,"convex",-30.1904761904762
1364,"convex",-0.162790697674403
1366,"convex",-33.8125
1371,"concave",21.8571428571429
1378,"convex",-25.5151515151515
1383,"convex",-18.3513513513514
1385,"convex",-33.8196721311476
1388,"concave",4
1397,"concave",21.7179487179487
1400,"convex",-25
1401,"convex",-41.8518518518519
1403,"convex",-7.9433962264151
1408,"convex",-36
1413,"convex",-40.8518518518519
1414,"convex",-17
1415,"convex",-7.8333333333333
1416,"convex",-23
1417,"convex",-2.55555555555555
1423,"convex",-1.9433962264151
1428,"convex",-30.219512195122
1430,"convex",-27.6190476190476
1431,"concave",2.6666666666667
1432,"concave",0.368421052631597
1435,"convex",-19.5882352941177
1438,"convex",-34.5652173913044
1440,"concave",4.15384615384615
1441,"convex",-29.3225806451613
1442,"convex",-47.8695652173913
1443,"convex",-21
1444,"convex",-18
1447,"convex",-2
1448,"concave",31.4444444444444
1451,"concave",2.0196078431373
1452,"convex",-13.2820512820513
1455,"convex",-3.5263157894737
1456,"convex",-26.7027027027027
1457,"convex",-20
1458,"convex",-26.7037037037038
1460,"concave",17.2758620689656
1465,"concave",2.7179487179487
1466,"concave",3.1481481481481
1467,"convex",-5.3809523809524
1470,"concave",3.3870967741936
1471,"convex",-21.8771929824562
1472,"convex",-34.8474576271186
1478,"concave",20.4545454545455
1482,"convex",-45.3188405797101
1484,"convex",-37.4593301435407
1486,"convex",-13.7936507936508
1489,"convex",-9.0204081632653
1491,"convex",-10.7037037037038
1497,"convex",-10.2820512820513
1502,"convex",-28
1505,"convex",-28
1509,"convex",-27.6493506493507
1511,"convex",-32.4273504273504
1513,"convex",-39.4516129032258
1514,"convex",-31.6129032258064
1515,"convex",-44.219512195122
1516,"convex",-34.4065040650407
1520,"concave",10.1228070175438
1525,"convex",-35.375
1528,"convex",-28.561797752809
1534,"convex",-3.81967213114756
1539,"convex",-45.1739130434783
1540,"convex",-27.6024096385542
1545,"convex",-28.0612244897959
1547,"convex",-27.2820512820513
1548,"convex",-23.9803921568627
1550,"convex",-17.3768115942029
1556,"neither",0
1558,"concave",16
1564,"convex",-25.3067484662577
1568,"convex",-39.8771929824562
1570,"convex",-14.3636363636363
1572,"convex",-37.4950495049505
1573,"convex",-11.3513513513514
1581,"convex",-7.3333333333333
1582,"convex",-16.5263157894737
1588,"convex",-26.8461538461538
1591,"convex",-33.0204081632653
1593,"convex",-44.3809523809524
1597,"convex",-2.9803921568627
1598,"convex",-40.1914893617021
1604,"convex",-19.4285714285714
1606,"convex",-17.7042253521127
1610,"convex",-9.94117647058825
1614,"convex",-26
1615,"concave",21
1616,"convex",-33.1627906976744
1617,"concave",13.6190476190476
1618,"convex",-14.561797752809
1620,"convex",-5.006711409396
1623,"convex",-48.3333333333333
1627,"convex",-26.6627218934911
1630,"convex",-4.9795918367347
1635,"convex",-2.9803921568627
1636,"convex",-21.5454545454545
1644,"concave",15.6190476190476
1646,"convex",-22.5151515151515
1649,"convex",-17.6666666666667
1655,"convex",-41.9213483146067
1657,"convex",-3.0588235294118
1661,"concave",7
1664,"concave",11.4545454545455
1665,"convex",-27.1914893617021
1668,"concave",24.4444444444444
1670,"convex",-41.7042253521127
1671,"convex",-5.7042253521127
1672,"convex",-25.7142857142857
1673,"convex",-31.6315789473684
1676,"convex",-31.5050505050505
1680,"convex",-24
1682,"convex",-13.1739130434783
1683,"convex",-16.5327102803738
1684,"convex",-16
1688,"convex",-29.4285714285714
1691,"convex",-9.9411764705882
1694,"concave",33.4444444444444
1696,"convex",-22.4672897196262
1699,"convex",-47.8771929824562
1703,"convex",-14.9090909090909
1707,"convex",-25.0309278350515
1722,"convex",-15
1725,"convex",-9.35135135135135
1727,"convex",-27.8771929824562
1730,"convex",-4
1736,"convex",-0.55555555555555
1740,"concave",21.8571428571429
1746,"convex",-47.6493506493507
1750,"convex",-28.6666666666667
1755,"concave",14.8571428571429
1759,"convex",-27.8235294117647
1762,"convex",-34.9803921568627
1764,"convex",-10.3513513513514
1768,"convex",-13.8823529411764
1778,"convex",-8
1782,"convex",-48.2201834862386
1785,"convex",-18.8461538461538
1786,"convex",-7.1739130434783
1787,"convex",-19
1789,"convex",-11.7777777777778
1794,"convex",-8.84615384615385
1796,"convex",-39
1799,"convex",-32.2645502645503
1800,"convex",-30
1801,"convex",-9.1739130434783
1803,"convex",-23.8823529411764
1808,"convex",-30
1810,"convex",-22.1739130434783
1814,"concave",20.0588235294118
1816,"convex",-25.5882352941177
1819,"concave",12.6666666666667
1820,"convex",-46.9724770642202
1822,"concave",7.8260869565217
1823,"convex",-50.1875
1826,"convex",-41.4672897196262
1828,"convex",-20
1831,"convex",-24.1525423728814
1832,"convex",-32.8695652173913
1833,"convex",-36.4594594594595
1834,"convex",-11.1111111111111
1838,"convex",-31.6538461538461
1839,"convex",-34.4424778761062
1842,"convex",-27.4950495049505
1845,"convex",-30
1846,"convex",-41.3550295857988
1847,"convex",-29.1111111111111
1848,"convex",-14.219512195122
1849,"convex",-17.5726495726496
1853,"convex",-23.8474576271186
1854,"convex",-10.3513513513513
1858,"concave",6.8260869565217
1860,"convex",-25.219512195122
1867,"convex",-29.0619469026549
1872,"convex",-3
1876,"convex",-19.3513513513514
1878,"convex",-18
1879,"convex",-8.1739130434783
1881,"concave",22.4545454545455
1882,"concave",15.1538461538461
1884,"convex",-10.5263157894737
1886,"concave",11
1892,"convex",-17.5151515151515
1894,"convex",-14
1895,"concave",16.6666666666667
1897,"concave",4.8372093023256
1898,"convex",-43.7169811320755
1902,"concave",16.0588235294118
1903,"convex",-13.1111111111111
1905,"convex",-25.7462686567165
1908,"convex",-34.6024096385542
1909,"convex",-18.1739130434783
1911,"convex",-4.94117647058825
1912,"convex",-34.9090909090909
1914,"concave",5.05882352941175
1920,"convex",-39.6627218934911
1922,"convex",-19
1925,"convex",-23.3513513513514
1927,"convex",-38.7241379310344
1930,"convex",-19.3809523809524
1932,"concave",18.3684210526316
1934,"convex",-44.5050505050505
1938,"convex",-16.7241379310344
1942,"convex",-42.5747126436782
1946,"convex",-24
1951,"convex",-6.7462686567164
1953,"convex",-20.7936507936508
1954,"convex",-21.7352941176471
1958,"convex",-21.4444444444444
1964,"convex",-9.2820512820513
1968,"convex",-17.7462686567164
1971,"convex",-37.1627906976744
1976,"convex",-38.2857142857143
1979,"convex",-13.5263157894737
1983,"convex",-7.2820512820513
1986,"convex",-24.1467889908257
1995,"concave",14
2000,"convex",-4.35135135135135
2002,"convex",-1.8518518518519
2003,"convex",-11.3496503496503
2004,"convex",-32.2820512820513
2008,"convex",-37.6493506493507
2010,"convex",-19.8461538461538
2011,"convex",-44.265306122449
2012,"convex",-21.1930501930502
2013,"convex",-15.8771929824561
2015,"convex",-1.64935064935065
2016,"convex",-9.9433962264151
2017,"convex",-24.8771929824562
2018,"convex",-2.38095238095235
2020,"concave",13.4444444444444
2022,"convex",-28.5151515151515
2028,"convex",-2.1111111111111
2029,"convex",-28.1111111111111
2033,"convex",-35.4201680672269
2035,"concave",21.2758620689656
2043,"convex",-26.1739130434783
2046,"convex",-3.1739130434783
2047,"convex",-28
2048,"convex",-6
2055,"convex",-19.7777777777778
2060,"convex",-29.4132231404958
2063,"convex",-50.9411764705882
2065,"convex",-37.561797752809
2067,"concave",8.4545454545455
2070,"convex",-44.7462686567164
2071,"convex",-4.7042253521127
2073,"convex",-9.9803921568627
2076,"convex",-2.1111111111111
2084,"convex",-25
2086,"convex",-8.6329113924051
2089,"concave",11.4444444444444
2090,"concave",1
2091,"convex",-35.7246376811595
2093,"convex",-18
2096,"convex",-34.1111111111111
2101,"convex",-18.8518518518519
2105,"convex",-2.561797752809
2108,"convex",-25
2109,"convex",-44.7042253521127
2110,"convex",-23.7857142857143
2111,"convex",-0.505050505050498
2116,"convex",-26.5217391304348
2118,"convex",-16.5882352941177
2119,"convex",-18.7777777777778
2121,"convex",-48.7681159420289
2128,"concave",12.0196078431373
2129,"convex",-2.3076923076923
2131,"concave",14.9795918367347
2135,"convex",-50.3809523809524
2136,"convex",-13.3513513513513
2145,"convex",-12.6129032258064
2147,"convex",-20.6129032258064
2153,"convex",-31
2154,"concave",11.6190476190476
2160,"convex",-36.8461538461539
2161,"convex",-30.5376344086021
2164,"convex",-5.87719298245615
2165,"convex",-41.6024096385542
2168,"convex",-6.1111111111111
2182,"convex",-18
2186,"convex",-29
2187,"convex",-28
2189,"convex",-42.6629213483146
2190,"convex",-22.5263157894737
2193,"convex",-28.7042253521127
2195,"convex",-26
2196,"convex",-6.81967213114756
2203,"convex",-46.1739130434783
2215,"convex",-18
2217,"convex",-25
2220,"convex",-9.21951219512195
2221,"convex",-24.3401360544218
2230,"convex",-6.72413793103445
2232,"concave",2.0196078431373
2233,"convex",-25.1627906976744
2234,"convex",-30.1531531531532
2236,"convex",-12
2237,"concave",17.6666666666667
2245,"convex",-13.7857142857143
2247,"concave",6.0196078431373
2249,"convex",-7
2251,"convex",-36.8518518518519
2255,"convex",-31.4672897196262
2261,"convex",-5.3333333333333
2265,"convex",-18.5555555555556
2267,"convex",-25.1531100478469
2268,"convex",-40.1162790697675
2269,"convex",-44.1627906976744
2270,"convex",-18.1111111111111
2272,"convex",-11.6853932584269
2274,"concave",4.35064935064935
2275,"convex",-38.3333333333333
2282,"concave",0.619047619047649
2286,"convex",-44.381679389313
2287,"concave",23.4545454545455
2288,"convex",-25.25
2289,"convex",-30
2292,"convex",-40.9881656804734
2294,"convex",-20
2299,"convex",-20
2304,"convex",-11
2311,"convex",-11
2313,"convex",-24
2317,"convex",-5
2319,"convex",-48.3333333333333
2320,"convex",-34
2322,"concave",8.3870967741936
2329,"convex",-40.063829787234
2331,"convex",-44.8518518518519
2336,"convex",-22.5555555555556
2338,"convex",-44.6363636363636
2339,"convex",-21.4593301435407
2341,"convex",-33.8823529411764
2344,"concave",18.4444444444444
2346,"convex",-10.0897666068223
2347,"concave",0.936170212766001
2351,"convex",-18.9090909090909
2353,"convex",-21.7272727272727
2355,"convex",-28.5154639175258
2357,"concave",9.61904761904765
2361,"convex",-40.5050505050505
2362,"convex",-21.5151515151515
2364,"convex",-9.38095238095235
2367,"convex",-33.4925373134328
2369,"convex",-37.5494505494505
2373,"convex",-34.3636363636363
2376,"concave",12.4444444444444
2377,"convex",-17.8196721311476
2386,"convex",-15.2238805970149
2388,"concave",32.4444444444444
2391,"convex",-36.8125
2392,"concave",14
2402,"convex",-16.8474576271186
2404,"convex",-1
2405,"convex",-31.2820512820513
2412,"convex",-32.8823529411764
2415,"convex",-11.5263157894737
2416,"convex",-0.793650793650798
2417,"convex",-16
2419,"convex",-4.55555555555555
2429,"convex",-37.8474576271186
2431,"convex",-22.6024096385542
2433,"convex",-24.375
2434,"convex",-1
2435,"convex",-18.8627450980392
2443,"convex",-28
2446,"convex",-36.7246376811595
2453,"concave",2.9795918367347
2463,"concave",21.4848484848485
2464,"convex",-24.9433962264151
2465,"convex",-41.381679389313
2466,"convex",-3.38095238095235
2469,"convex",-9.35135135135135
2483,"convex",-4.6129032258064
2484,"convex",-22
2488,"convex",-49.1159420289855
2489,"convex",-26.4273504273504
2490,"convex",-38.7462686567164
2494,"convex",-25.1081081081082
2496,"convex",-8.4504504504505
2498,"concave",32.8888888888889
2500,"convex",-20.5263157894737
2502,"convex",-14
2511,"concave",10.3684210526316
2519,"convex",-12
2520,"convex",-19.3513513513513
2521,"concave",14
2525,"convex",-24.8518518518519
2527,"neither",0
2528,"convex",-25.9100529100529
2532,"convex",-37.4672897196262
2545,"convex",-22.1627906976744
2546,"convex",-14.6129032258064
2549,"convex",-39.3225806451613
2550,"convex",-6.9803921568627
2554,"convex",-42.561797752809
2565,"convex",-22.7936507936508
2566,"convex",-14.3513513513513
2567,"concave",8
2569,"convex",-12
2572,"convex",-30.6024096385542
2576,"convex",-3.21951219512195
2578,"concave",18.4444444444444
2583,"concave",21.4444444444444
2584,"convex",-36.5263157894737
2588,"convex",-1.1111111111111
2589,"convex",-42.6024096385542
2590,"convex",-15.4285714285714
2593,"convex",-6.9803921568627
2596,"concave",10.3150684931506
2600,"concave",16.4444444444444
2601,"convex",-25
2602,"convex",-23
2603,"convex",-16.9387755102041
2606,"convex",-15.6315789473684
2608,"convex",-16
2613,"convex",-27.3333333333333
2614,"convex",-27.7027027027027
2618,"convex",-3
2629,"convex",-6
2636,"convex",-18.9166666666667
2637,"convex",-16.127659574468
2638,"convex",-24
2646,"convex",-29.6493506493507
2648,"convex",-8.1111111111111
2649,"convex",-4.21951219512195
2650,"convex",-4
2654,"convex",-15.5263157894737
2655,"concave",15.8571428571429
2659,"convex",-34
2660,"convex",-13.8196721311476
2664,"convex",-0.941176470588246
2666,"convex",-40.3333333333333
2667,"convex",-36.4201680672269
2668,"convex",-13.2553191489362
2670,"concave",1.8888888888889
2676,"convex",-9.1052631578947
2677,"convex",-18
2679,"convex",-35.9803921568627
2686,"concave",0.6666666666667
2689,"convex",-8.40000000000001
2692,"convex",-36.3333333333333
2694,"convex",-16.1111111111111
2699,"convex",-3
2701,"convex",-25
2702,"convex",-10.8771929824562
2704,"convex",-31.6912751677852
2709,"convex",-15.9411764705882
2713,"convex",-33.1627906976744
2714,"convex",-21.066985645933
2715,"concave",0.275862068965552
2716,"concave",20.6190476190476
2718,"convex",-31.7462686567164
2720,"convex",-6.6363636363636
2725,"convex",-25.212389380531
2726,"convex",-18.8518518518519
2729,"convex",-38.9710144927537
2734,"concave",0.0204081632653015
2738,"concave",10.7179487179487
