"lagoslakeid","reservoir_class"
1,"Res"
5,"NL"
6,"Res"
9,"NL"
13,"NL"
14,"Res"
15,"Res"
16,"Res"
17,"NL"
18,"Res"
19,"Res"
20,"NL"
22,"NL"
24,"NL"
26,"NL"
27,"NL"
28,"NL"
30,"NL"
32,"NL"
34,"NL"
36,"Res"
37,"NL"
40,"NL"
42,"NL"
45,"NL"
46,"Res"
48,"Res"
50,"NL"
51,"NL"
52,"Res"
53,"NL"
54,"NL"
55,"NL"
56,"Res"
57,"Res"
63,"Res"
64,"NL"
65,"NL"
67,"NL"
68,"NL"
71,"Res"
72,"NL"
73,"NL"
75,"NL"
78,"NL"
79,"NL"
82,"NL"
83,"NL"
85,"NL"
95,"NL"
97,"Res"
98,"NL"
102,"NL"
103,"NL"
104,"NL"
110,"Res"
113,"NL"
114,"NL"
116,"Res"
117,"NL"
119,"NL"
121,"NL"
125,"NL"
126,"NL"
127,"NL"
130,"Res"
133,"Res"
139,"NL"
141,"NL"
142,"NL"
143,"Res"
146,"NL"
148,"Res"
150,"Res"
157,"NL"
160,"NL"
162,"NL"
163,"NL"
164,"NL"
165,"NL"
170,"NL"
172,"NL"
173,"NL"
174,"Res"
176,"NL"
181,"Res"
183,"NL"
184,"NL"
185,"Res"
186,"NL"
189,"NL"
191,"NL"
192,"NL"
193,"Res"
196,"NL"
198,"NL"
199,"NL"
204,"NL"
205,"NL"
207,"NL"
209,"Res"
211,"NL"
213,"Res"
216,"NL"
217,"Res"
224,"NL"
225,"Res"
226,"NL"
228,"NL"
230,"NL"
231,"NL"
233,"NL"
235,"NL"
239,"NL"
242,"NL"
245,"NL"
248,"NL"
254,"NL"
256,"NL"
258,"NL"
259,"Res"
264,"NL"
266,"NL"
267,"NL"
270,"NL"
271,"NL"
273,"NL"
274,"NL"
275,"NL"
277,"NL"
279,"NL"
280,"NL"
282,"NL"
283,"NL"
285,"Res"
286,"NL"
290,"Res"
293,"NL"
297,"NL"
299,"NL"
302,"NL"
303,"NL"
306,"NL"
307,"NL"
310,"Res"
311,"NL"
315,"Res"
316,"Res"
317,"NL"
321,"NL"
323,"NL"
324,"NL"
327,"NL"
332,"Res"
334,"NL"
340,"NL"
341,"NL"
349,"NL"
359,"NL"
361,"NL"
362,"NL"
363,"Res"
364,"NL"
366,"NL"
367,"NL"
370,"NL"
371,"NL"
372,"Res"
373,"NL"
375,"NL"
376,"NL"
377,"NL"
378,"NL"
379,"NL"
380,"NL"
381,"Res"
384,"NL"
388,"NL"
389,"NL"
393,"NL"
397,"NL"
398,"NL"
401,"Res"
403,"Res"
405,"NL"
408,"NL"
411,"Res"
412,"NL"
417,"Res"
418,"NL"
420,"NL"
422,"NL"
423,"NL"
424,"NL"
427,"NL"
431,"NL"
432,"Res"
437,"NL"
440,"NL"
441,"NL"
443,"NL"
444,"NL"
447,"Res"
448,"NL"
449,"Res"
451,"Res"
452,"Res"
453,"NL"
454,"Res"
455,"Res"
456,"NL"
458,"NL"
461,"NL"
462,"NL"
463,"NL"
465,"NL"
467,"NL"
468,"NL"
470,"Res"
471,"Res"
472,"Res"
473,"NL"
474,"NL"
476,"NL"
478,"NL"
480,"NL"
482,"Res"
483,"Res"
485,"NL"
487,"Res"
492,"NL"
494,"Res"
496,"Res"
497,"Res"
498,"Res"
501,"NL"
503,"NL"
505,"Res"
507,"NL"
508,"NL"
513,"NL"
517,"Res"
519,"Res"
521,"NL"
522,"Res"
527,"NL"
529,"NL"
533,"NL"
535,"Res"
539,"Res"
542,"NL"
543,"Res"
544,"Res"
545,"Res"
551,"NL"
556,"NL"
560,"NL"
566,"NL"
569,"NL"
570,"NL"
572,"NL"
573,"Res"
574,"Res"
575,"NL"
576,"NL"
577,"NL"
582,"NL"
583,"Res"
584,"Res"
585,"Res"
586,"NL"
588,"NL"
598,"Res"
600,"NL"
602,"NL"
603,"NL"
607,"NL"
609,"NL"
611,"NL"
618,"NL"
619,"Res"
620,"NL"
622,"NL"
628,"NL"
633,"NL"
635,"Res"
636,"NL"
638,"NL"
639,"NL"
640,"Res"
641,"NL"
643,"Res"
647,"Res"
651,"NL"
658,"NL"
661,"Res"
666,"Res"
668,"Res"
671,"NL"
672,"NL"
674,"NL"
675,"Res"
678,"Res"
681,"Res"
687,"NL"
688,"Res"
690,"NL"
691,"NL"
692,"Res"
693,"NL"
695,"Res"
696,"NL"
698,"NL"
701,"NL"
702,"NL"
703,"Res"
705,"Res"
706,"NL"
708,"NL"
709,"Res"
710,"Res"
711,"NL"
713,"Res"
715,"NL"
716,"NL"
717,"NL"
718,"NL"
721,"NL"
722,"Res"
723,"NL"
724,"NL"
726,"NL"
728,"NL"
735,"Res"
738,"NL"
747,"NL"
748,"NL"
751,"NL"
753,"NL"
754,"NL"
755,"NL"
757,"Res"
759,"Res"
763,"NL"
768,"NL"
770,"NL"
772,"NL"
774,"NL"
777,"Res"
778,"NL"
780,"NL"
782,"NL"
783,"Res"
788,"NL"
793,"NL"
795,"Res"
798,"NL"
800,"NL"
802,"NL"
803,"Res"
806,"NL"
807,"Res"
815,"NL"
817,"NL"
819,"NL"
820,"Res"
824,"Res"
825,"NL"
827,"Res"
828,"NL"
836,"NL"
838,"Res"
840,"NL"
843,"NL"
844,"Res"
845,"NL"
847,"NL"
848,"NL"
849,"NL"
850,"NL"
853,"Res"
854,"NL"
855,"Res"
857,"NL"
858,"NL"
861,"NL"
865,"Res"
867,"Res"
869,"NL"
870,"Res"
871,"NL"
873,"NL"
874,"NL"
877,"Res"
878,"Res"
879,"NL"
882,"NL"
885,"NL"
890,"NL"
893,"Res"
896,"Res"
899,"Res"
901,"NL"
905,"NL"
906,"NL"
907,"NL"
911,"NL"
916,"Res"
918,"Res"
919,"NL"
920,"NL"
921,"Res"
922,"NL"
925,"NL"
926,"NL"
927,"NL"
928,"NL"
929,"Res"
930,"NL"
933,"NL"
935,"NL"
936,"Res"
937,"NL"
940,"NL"
942,"NL"
943,"NL"
944,"Res"
948,"NL"
952,"NL"
953,"NL"
954,"NL"
958,"NL"
961,"NL"
963,"Res"
964,"NL"
966,"NL"
967,"Res"
968,"Res"
975,"NL"
977,"NL"
979,"NL"
980,"NL"
982,"NL"
984,"Res"
985,"NL"
987,"NL"
989,"NL"
991,"Res"
992,"NL"
994,"NL"
995,"NL"
1001,"Res"
1004,"NL"
1010,"NL"
1011,"NL"
1017,"Res"
1020,"NL"
1021,"NL"
1023,"Res"
1025,"NL"
1026,"NL"
1031,"NL"
1032,"Res"
1033,"NL"
1034,"NL"
1036,"Res"
1037,"NL"
1039,"NL"
1040,"Res"
1041,"NL"
1043,"Res"
1044,"Res"
1045,"NL"
1049,"NL"
1052,"NL"
1053,"NL"
1054,"NL"
1055,"NL"
1056,"NL"
1058,"NL"
1062,"Res"
1065,"NL"
1066,"NL"
1068,"NL"
1069,"Res"
1074,"NL"
1081,"NL"
1084,"NL"
1087,"NL"
1090,"Res"
1091,"NL"
1093,"NL"
1095,"Res"
1097,"Res"
1098,"Res"
1100,"NL"
1107,"NL"
1108,"NL"
1109,"NL"
1111,"Res"
1112,"NL"
1113,"NL"
1116,"NL"
1122,"NL"
1123,"NL"
1124,"NL"
1126,"NL"
1127,"NL"
1128,"NL"
1130,"Res"
1131,"NL"
1133,"NL"
1134,"Res"
1135,"Res"
1136,"NL"
1138,"NL"
1139,"NL"
1140,"NL"
1141,"NL"
1142,"Res"
1144,"NL"
1146,"Res"
1148,"NL"
1155,"NL"
1157,"NL"
1158,"NL"
1159,"NL"
