"lagoslakeid","lake_maxdepth_m","maxdepth_true_true","maxdepth_true_false","maxdepth_false_true","maxdepth_false_false","inlake_slope","slope_mean","dist_deepest","dist_viscenter","reservoir_class","shape_class","lake_perimeter_m","lake_islandarea_ha","lake_elevation_m","lake_waterarea_ha","lake_shorelinedevfactor","ws_lake_arearatio","hu4_zoneid"
"127784",21.0613651275635,34.2085149912922,31.6470271575416,47.0093400705593,43.4893435815556,0.0333166638491304,0.047444642127503,1026.76892098802,1218.69406570507,"Res","convex",81810.1,115.902,416.4,2418.434,4.693,1.186,"hu4_28"
"8236",21.0312004089355,21.6348626176306,21.3726020969788,57.0404749330004,56.3490231351061,0.0320023877026473,0.0876088114174562,676.039013671499,863.739599971208,"Res","convex",72581.9,150.791,143,1989.858,4.59,6.698,"hu4_2"
"2549",39.6220664978027,43.3174458345833,31.6097002537769,45.0467294468675,32.8715968311238,0.165665178745737,0.179096977444839,261.475864527131,263.377597399332,"NL","convex",4941,0,416.1,74.216,1.618,8.325,"hu4_54"
"3639",21.3349588540079,65.5789785044001,47.1336200264363,43.8467209954212,31.5139810642931,0.270497441796966,0.188025132003851,242.438442555118,242.540582433667,"NL","convex",2008.3,0,250.9,27.369,1.083,3.318,"hu4_31"
"1025",18.2871075891496,127.983491679827,107.46807608264,62.8373793010522,52.7647134089219,0.248813146823355,0.12693730490909,514.375921505018,566.828806770979,"NL","convex",11294.1,0,266.3,241.593,2.05,3.441,"hu4_37"
"8174",45.7200012207031,32.4828821578232,59.50051977107,55.3666193756176,101.417805686397,0.124115238246777,0.219972191542527,261.715504209385,626.576344277033,"Res","convex",25831,0,85.5,491.604,3.286,19.694,"hu4_3"
"5872",18.2871075891496,49.8785524157072,52.9284044431125,60.1923113912314,63.8728039885456,0.230178855710135,0.288894103898257,216.694762261393,312.635891479794,"Res","convex",6154.7,0.828,246.1,102.306,1.717,6.886,"hu4_9"
"8242",32.3087997436523,24.9369920428171,29.9737013144358,54.2286566315483,65.1816206929142,0.130991824666146,0.296266628734691,190.370598366525,311.221916744098,"Res","convex",26377.5,3.162,388.5,285.387,4.405,34.37,"hu4_4"
"836",25.9067357512953,158.713313964538,197.317314279124,10.3227776033714,12.8335972686767,0.472621635934326,0.0317870106123058,335.814744601731,548.671534348629,"NL","convex",8671.5,0,272.5,233.029,1.602,0.767,"hu4_39"
"5591",33.526363913441,116.036572370162,149.343007425914,27.7861185763277,35.7616777893459,0.61707101593806,0.153582575201948,188.044113842821,327.831820497957,"NL","convex",4890.9,0.766,388.9,94.105,1.422,10.55,"hu4_7"
"5796",36.5742151782993,135.891557395665,177.710261745353,34.7579633760971,45.4542348890519,0.358805758232304,0.0953103154619821,378.73293356592,646.568211520504,"Res","convex",17976.8,0,197.1,498.962,2.27,4.544,"hu4_9"
"5695",12.1914050594331,36.7957804389869,25.3152450191205,22.5274266863148,15.4987153257955,0.340297039777794,0.216628053679641,108.128417640699,116.869704910381,"NL","convex",1987.1,0,388.9,12.002,1.618,5.4,"hu4_7"
"1867",19.8110332215788,81.7045600241978,66.0727098026427,2.59059235083398,2.09495597997108,0.0827683305141451,0.00252553836724044,987.147614512226,1027.90172994083,"Res","convex",69636.2,19.523,194.8,1899.977,4.507,19.207,"hu4_30"
"5855",15.2392563242914,61.1196588520509,45.082656907029,8.75919976652365,6.46089990145722,0.248970059898706,0.0369294353323425,245.489995371,251.134601362344,"Res","convex",3181.3,0,352.9,44.678,1.343,8.871,"hu4_9"
"5952",24.3828101188662,68.8074739832417,57.1239425666639,38.9583568555797,32.3432152160062,0.358555836759461,0.211083335094435,191.901698226716,223.749407113918,"NL","convex",5190.5,0,339.1,53.381,2.004,13.64,"hu4_7"
"1360",33.526363913441,114.44922447899,127.416857465128,10.9648013946655,12.2071647300153,0.448341123224726,0.044498777831075,255.27264520329,380.912384218729,"NL","convex",8311.3,0,282.2,191.985,1.692,3.607,"hu4_39"
"3747",18.2871075891496,61.9161913807582,44.3532279728696,18.2709196127211,13.0882446866529,0.275378587990815,0.0843691512067664,224.840252949599,225.946784519709,"Res","convex",4699,0,314.4,46.555,1.943,12.079,"hu4_41"
"937",12.1914050594331,49.040310895383,42.2934692029563,8.47488959670098,7.30893576350213,0.216611213608444,0.038754052682924,226.397840067645,268.972794855332,"NL","convex",3729.7,0,275.4,53.022,1.445,5.959,"hu4_37"
"6116",18.2871075891496,61.0718648170519,42.0534336226961,30.0361117733542,20.6825456620404,0.353757211702085,0.180871158680762,172.637794500945,172.854744945406,"NL","convex",1713.1,0,503.7,16.453,1.191,8.544,"hu4_9"
"131279",41.7048759460449,54.3038719959329,50.1759096005861,123.27321668694,113.902481523244,0.0737214935042545,0.173969840964833,736.608408412114,879.811377664081,"Res","convex",15475.2,0,411.7,484.788,1.983,1.595,"hu4_54"
"65915",13.2980518341064,13.4666136267633,10.0672828371889,22.6954467843589,16.9665134997584,0.0769855034219696,0.134828676892057,174.924018525289,187.82104354867,"NL","convex",1484.2,0,305.7,16.082,1.044,5.291,"hu4_25"
"8514",35.9664001464844,72.2646414750416,56.9332045471629,80.7330311050754,63.6049675165856,0.291349937193332,0.338556966659825,248.033832343299,269.175621087974,"Res","convex",4064.1,0,328.4,51.801,1.593,17.475,"hu4_6"
"2725",18.2871075891496,55.0686775225685,42.83469494165,25.7582773027816,20.0358534129478,0.322392722429862,0.156741107724515,170.81240887672,190.459403357996,"Res","convex",5467,0,422.8,56.631,2.049,3.438,"hu4_32"
"315",31.9609260559082,53.3079315194139,40.8661585367741,45.1914308480743,34.6440037139406,0.0813417636288786,0.0715626023202233,655.357458963283,655.526409070773,"Res","convex",28557.4,3.314,401.1,641.807,3.18,1.977,"hu4_25"
"93982",15.2392559051514,18.1118243154672,16.3204480278753,38.2907079090806,34.5035098340166,0.0381335278611015,0.0837003122957248,474.958004972374,561.868706248366,"Res","convex",36002.2,38.733,435,600.843,4.143,2.404,"hu4_25"
"5965",15.2392563242914,75.1595037191134,74.315985120848,23.3153467212173,23.0536775029392,0.322021695322513,0.103761915538969,233.398882158667,313.686439531745,"NL","convex",8071,0,53.5,122.271,2.059,4.435,"hu4_9"
"334",9.14355373382568,12.2626713067189,17.9131300238556,34.9100386133744,50.9960713434891,0.029698080420384,0.087787383633933,412.91124318938,782.352176667568,"NL","convex",15912.7,0,413.3,470.465,2.07,3.53,"hu4_54"
"2961",31.6942100524902,73.7198644660344,60.6822054928283,0.455776447825985,0.375170522437825,0.0319801148724201,0,2305.17822591097,2411.28013166399,"NL","convex",44953.4,10.863,367.8,3408.238,2.172,0.408,"hu4_25"
"3777",14.0100364685059,23.4450747834305,19.4415694072823,46.343545635914,38.4298735398762,0.0143277533729884,0.0292703895717478,1636.33991827572,1730.94946076667,"NL","convex",30508.7,1.207,401,2195.148,1.837,0.817,"hu4_54"
"96015",17.3143558502197,18.9999962133089,15.2696363804619,34.7082117369396,27.8937830665415,0.0579004785539083,0.109876188822746,328.149208570339,355.145355063886,"NL","convex",3169,0,278.7,58.487,1.169,2.101,"hu4_25"
"2714",33.526363913441,190.084953652248,151.521962580819,52.6655448344297,41.9811592678711,0.110893047836636,0.0317712757174431,1714.12867948471,1742.85813635575,"NL","convex",97533.3,8.062,194.5,7016.129,3.285,6.833,"hu4_30"
"8433",17.0687999725342,13.4397381301944,13.8372629166148,23.1354726394139,23.8197808997852,0.0434601626133351,0.0776577749757342,309.242702328743,423.945294690994,"NL","convex",4772.1,0,368.5,108.926,1.29,10.045,"hu4_4"
"3607",24.3828105926514,30.9576239590378,64.4466391402256,99.4104120445832,206.949569524311,0.0657460229828021,0.219524066033669,470.866868512119,1256.89065384631,"Res","convex",78409.7,92.668,370.3,2563.721,4.368,13.188,"hu4_25"
"1142",18.5918922424316,22.8357645395239,19.8128881237902,91.9824652562924,79.8063183003609,0.049291478935147,0.206435293109536,463.280165920138,529.112052191562,"Res","convex",35163.4,0,373.6,865.168,3.372,31.553,"hu4_25"
"6023",15.2392563242914,79.4357462447176,68.5992433910652,37.22185052208,32.1441026759387,0.219183101803938,0.106686012732553,362.417292167778,417.133320130125,"Res","concave",11316.2,0,149.6,181.666,2.368,12.081,"hu4_9"
"7179",33.526363913441,126.307246629253,129.262114886754,16.707484108177,17.0983438234464,0.386206391755204,0.052963105634586,327.045976777392,444.468441038623,"Res","convex",19378.8,13.673,86,333.05,2.995,23.817,"hu4_11"
"5807",36.5742151782993,118.879012531822,89.8180511300593,97.6584609742491,73.7850395478344,0.26333437100693,0.224941936001611,451.437509191285,452.501401259727,"NL","convex",6698.1,0,250.1,179.395,1.411,7.032,"hu4_8"
"5860",9.14355379457482,28.3903927250268,26.6799410032954,51.7025033936127,48.5875540231002,0.101937917560091,0.193004949336797,278.506697061876,352.634915275099,"Res","convex",12536.7,4.926,192,224.105,2.362,4.441,"hu4_8"
