"llid","name","legacy_name","state","max_depth_m","mean_depth_m","source","lake_waterarea_ha","lake_connectivity_permanent","effort","lat","long","source_type","buffer100m_slope_mean"
274265,"TNRL-1",NA,"AL",17.3736,4.8768,"www.lakelubbers.com",21190.5786519,"DrainageLk","manual",34.762564,-87.243619,"Misc",NA
248780,"INLB-1",NA,"AL",44.196,23.4696,"www.outdooralabama.com",562.425417787,"DrainageLk","manual",33.834688,-86.550942,"Misc",NA
251755,"BCLM-2",NA,"AL",15.24,4.572,"www.lakelubbers.com",1339.23634013,"DrainageLk","manual",30.740052,-88.335142,"Misc",NA
274535,"CEDF-2",NA,"AL",24.384,4.572,"www.lakelubbers.com",1644.27213301,"DrainageLk","manual",34.544028,-87.973694,"Misc",NA
244056,"TUST-3",NA,"AL",28.0416,6.7056,"www.lakelubbers.com",2053.97783258,"DrainageLk","manual",33.34054,-87.560421,"Misc",NA
248121,"OLIT-2",NA,"AL",39.3192,4.8768,"www.lakelubbers.com",268.274168015,"DrainageLk","manual",33.242573,-87.504276,"Misc",NA
274672,"LBRF-2",NA,"AL",25.6032,4.8768,"www.lakelubbers.com",586.076213125,"Drainage","manual",34.451933,-87.973222,"Misc",NA
273808,"TENR-350",NA,"AL",18.288,4.572,"www.encyclopediaofalabama.org",26552.3917888,"DrainageLk","manual",34.423778,-86.374472,"Misc",NA
274102,"UBAM-1",NA,"AL",21.336,4.2672,"www.lakelubbers.com",638.150197492,"Drainage","manual",34.273306,-87.692167,"Misc",NA
241074,"NEES-11",NA,"AL",18.8976,3.048,"www.lakelubbers.com",832.735125569,"DrainageLk","manual",34.1301,-85.7945,"Misc",NA
244048,"COFC-3",NA,"AL",7.62,NA,"www.lakebrowser.com",2614.09993861,"DrainageLk","manual",32.292368,-87.937967,"Misc",NA
225407,"GEOH-25",NA,"AL",30,5,"en.wikipedia.org",14131.1921477,"DrainageLk","manual",31.835931,-85.142004,"Misc",NA
274861,"TURL-1",NA,"AL",4.6,1.5,"fishing-app.gpsnauticalcharts.com",29.4578705974,"Drainage","manual",34.545538,-87.270626,"Misc",NA
246795,"CTMC-1",NA,"AL",25,0.6,"fishing-app.gpsnauticalcharts.com",213.370227058,"Drainage","manual",34.18617,-86.80415,"Misc",NA
454129,"LAKE HAVASU - MID THOMPSON BAY",NA,"AZ",27.432,10.668,"en.wikipedia.org",7473.30131295,"DrainageLk","manual",34.3007783,-114.1376314,"Misc",NA
454647,"KENNEDY LAKE - AT DAM",NA,"AZ",3.6576,2.4384,"en.wikipedia.org",3.92864815445,"Isolated","manual",32.180215,-111.0081717,"Misc",NA
454987,"LAKE PLEASANT - MID LAKE",NA,"AZ",89.3064,NA,"fishing-app.gpsnauticalcharts.com",3717.30106945,"DrainageLk","manual",33.9061111,-112.2427778,"Misc",NA
