"col_name","description"
"lagoslakeid","unique lake identifier developed for LAGOS-US"
"lake_namegnis","lake name from the gnis database by way of the LAGOS-US Locus module"
"lake_states","abbreviation(s) of state(s) intersecting the lake polygon from the LAGOS-US Locus module"
"lake_state","abbreviation of the state used to search for a lake's depth"
"lake_lat_decdeg","the latitude of the lake center point (NAD83) from the LAGOS-US Locus module"
"lake_lon_decdeg","the longitude of the lake center point (NAD83) from the LAGOS-US Locus module"
"lake_maxdepth_m","lake maximum depth in meters"
"lake_meandepth_m","lake mean depth in meters"
"lake_waterarea_ha","surface area of lake waterbody polygon from NHD (excludes islands) by way of the LAGOS-US Locus module"
"sourcename_depth","name of the source of depth data"
"sourceurl_depth","url link of the source of depth data"
"sourcetype_depth","type of the source of depth data; one of Citizen Monitoring, Government, University, Commercial"
"lagos_effort","name of depth searching effort used for internal tracking; one of LAGOSNE, LAGOSUS, bathymetry, NLA"
"lagos_effort_reliablility","reliability of depth searching effort used for quality assurance and de-duplication"
